i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
30,3,1.2,True,614.7112583851434,8,0.1,0.2,centralized_mpc,0.40646605791607726, 0.04956653411553954, 3,[0.095 0.042 0.044],
30,3,1.2,True,619.0077111321807,8,0.1,0.2,True,0.4056960787502248,0.003577741167087924,3,[0.098 0.044 0.046],
31,3,1.5000000000000002,True,827.6081478711369,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013349934599844147","0.008847177472178593","[[100], [101], [102]]","[0.04925363955616867, 0.03204478008742467, 0.08015567969440027]"
31,3,1.6000000000000003,True,934.1565326213573,8,0.1,0.2,centralized_mpc,0.44542308531231356, 0.09085412809906787, 3,[0.047 0.022 0.096],
31,3,1.6000000000000003,True,990.3832048705001,8,0.1,0.2,True,0.4526091147709697,0.03460851087934644,3,[0.046 0.025 0.097],
32,3,1.0999999999999999,True,745.5002272625454,8,0.1,0.2,ilqr,"[100, 101, 102]","0.02451383627251771","0.011039952099463067","[[100], [101], [102]]","[0.05369289951100162, 0.04454745557097992, 0.09530021083947547]"
32,3,1.2,True,490.6114708453082,8,0.1,0.2,centralized_mpc,0.40182325200021296, 0.04281963315113687, 3,[0.042 0.037 0.084],
32,3,1.2,True,494.1828875002418,8,0.1,0.2,True,0.40479965913901755,0.003581573659729227,3,[0.045 0.04  0.087],
33,3,0.9999999999999999,True,426.8027654139767,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01839531320038077","0.0026770498507519","[[100], [101, 102], [101, 102]]","[0.07647790942551028, 0.07115809698750283, 0.046456784271923963]"
33,3,0.9999999999999999,True,421.5023020238241,8,0.1,0.2,centralized_mpc,0.39190500599979716, 0.04127224869836714, 3,[0.076 0.066 0.043],
33,3,0.9999999999999999,True,425.8403756601249,8,0.1,0.2,True,0.40316508336727563,0.002044840821601058,3,[0.078 0.068 0.044],
34,3,1.3,True,731.4349953378523,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011447343436138442","0.006276945479085004","[[100], [101], [102]]","[0.056156028798456645, 0.08989322485182098, 0.04740378388851827]"
34,3,1.4000000000000001,True,718.2136268352795,8,0.1,0.2,centralized_mpc,0.41453066185749776, 0.07476311549765388, 3,[0.041 0.077 0.031],
34,3,1.4000000000000001,True,721.141870201921,8,0.1,0.2,True,0.4065219995236042,0.0031308397213630364,3,[0.043 0.082 0.033],
35,3,1.2,True,552.7937151430076,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01136428686145842","0.007612132400192624","[[100], [101], [102]]","[0.06807318833313614, 0.08783973097784531, 0.04389284941915284]"
35,3,1.3,True,563.3398408154908,8,0.1,0.2,centralized_mpc,0.4010585029237308, 0.05472128090276252, 3,[0.055 0.079 0.027],
35,3,1.3,True,567.9373836242742,8,0.1,0.2,True,0.4054066674105296,0.0037189217543332747,3,[0.06  0.084 0.028],
36,3,1.0999999999999999,True,512.5144566794035,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012420234667043778","0.007757106475391369","[[100], [101], [102]]","[0.07963105414703882, 0.06186113442243838, 0.07486168927908277]"
36,3,1.0999999999999999,True,516.7781299638998,8,0.1,0.2,centralized_mpc,0.3973662655457288, 0.047047528260966184, 3,[0.087 0.058 0.079],
36,3,1.0999999999999999,True,521.0500510613031,8,0.1,0.2,True,0.4057727712729088,0.0025808621615110907,3,[0.09  0.059 0.08 ],
37,3,1.2,True,515.0577109306566,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013254338027662826","0.012464350237819211","[[100], [101], [102]]","[0.04558759313058245, 0.04832988502172915, 0.08595327811038773]"
37,3,1.2,True,532.8506117176879,8,0.1,0.2,centralized_mpc,0.4226326524991843, 0.0848400523205991, 3,[0.043 0.058 0.098],
37,3,1.2,True,550.1111262098723,8,0.1,0.2,True,0.4619705753888815,0.042705746731548984,3,[0.044 0.044 0.077],
38,3,1.2,True,554.0943865671421,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012067525083592852","0.006596477098991938","[[100], [101], [102]]","[0.049201982793061254, 0.08462923987322028, 0.04742894087344166]"
38,3,1.3,True,550.2719829391482,8,0.1,0.2,centralized_mpc,0.40658349461535603, 0.0663525902932114, 3,[0.033 0.078 0.033],
38,3,1.3,True,553.9804745594498,8,0.1,0.2,True,0.403745384999918,0.002660215720945796,3,[0.034 0.083 0.037],
39,3,1.4000000000000001,True,715.946713461118,8,0.1,0.2,ilqr,"[100, 101, 102]","0.014433591428487921","0.008500752514829858","[[100], [101], [102]]","[0.08075246518770243, 0.019270998315435807, 0.06574466711280641]"
39,3,1.5000000000000002,True,789.7167540540155,8,0.1,0.2,centralized_mpc,0.4177732781994564, 0.07280414858324798, 3,[0.087 0.011 0.062],
39,3,1.5000000000000002,True,794.4702144770216,8,0.1,0.2,True,0.40628163084450836,0.003857967198560783,3,[0.093 0.013 0.067],
40,3,1.2,True,693.6521925078084,8,0.1,0.2,ilqr,"[100, 101, 102]","0.022237787416290507","0.011656783169894545","[[100], [101], [102]]","[0.08542325533590775, 0.09345985143329485, 0.02936452343647383]"
40,3,1.2,True,609.4922565256722,8,0.1,0.2,centralized_mpc,0.40349521383329073, 0.04939891257809553, 3,[0.087 0.097 0.026],
40,3,1.3,True,590.1332927933953,8,0.1,0.2,True,0.40599602620503183,0.003101538814457237,3,[0.067 0.078 0.017],
