i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,centralized,t_solve,dist_to_goal,
20,5,3.2,0,TRUE,12666.452,10,0.1,0.25,FALSE,15.3361619,[0.082 0.045 0.041 0.069 0.098],
21,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
21,5,3.1,0,TRUE,8798.433,10,0.1,0.25,FALSE,14.5239725,[0.036 0.074 0.066 0.092 0.038],
22,5,3.1,0,TRUE,8152.644,10,0.1,0.25,TRUE,14.1829073,[0.079 0.011 0.036 0.092 0.051],
22,5,3.2,0,TRUE,8326.478,10,0.1,0.25,FALSE,9.127122,[0.072 0.01  0.034 0.091 0.047],
23,5,3,0,TRUE,9050.495,10,0.1,0.25,TRUE,13.7220992,[0.05  0.064 0.074 0.091 0.066],
23,5,3,0,TRUE,9161.625,10,0.1,0.25,FALSE,9.7175253,[0.05  0.067 0.077 0.094 0.068],
24,5,2.1,0,TRUE,1361.7,10,0.1,0.25,TRUE,10.4083226,[0.086 0.056 0.012 0.052 0.094],
24,5,2.1,0,TRUE,1362.793,10,0.1,0.25,FALSE,5.9680116,[0.086 0.056 0.012 0.052 0.095],
25,5,2.1,1,FALSE,None,10,0.1,0.25,TRUE,None,,
25,5,5,50,FALSE,None,10,0.1,0.25,FALSE,None,[0.008 1.46  1.832 1.423 1.256],
26,5,2.8,0,TRUE,7622.799,10,0.1,0.25,TRUE,14.913735,[0.091 0.084 0.04  0.097 0.072],
26,5,2.8,0,TRUE,7646.241,10,0.1,0.25,FALSE,9.3081352,[0.091 0.085 0.04  0.098 0.075],
27,5,3.1,0,TRUE,7709.112,10,0.1,0.25,TRUE,19.8411809,[0.056 0.029 0.038 0.056 0.093],
27,5,3.1,0,TRUE,7822.826,10,0.1,0.25,FALSE,10.4282214,[0.057 0.029 0.037 0.058 0.099],
28,5,2.7,0,TRUE,5329.131,10,0.1,0.25,TRUE,12.6739712,[0.1   0.05  0.076 0.041 0.084],
28,5,2.7,0,TRUE,5355.103,10,0.1,0.25,FALSE,9.1821844,[0.1   0.051 0.077 0.041 0.088],
